Date,Emp ID,Emp Name,Type,UTR,Status,Credit,Debit
05/04/2025,---,HDFC CA 7832,Bank Transfer (Funding),UTRRPX20250405001,Processed,"8,50,000.00",
07/04/2025,EMP001,Kavitha Ranganathan,Salary,UTR2025040700501,Processed,,"1,50,000.00"
07/04/2025,EMP002,Deepak Srinivasan,Salary,UTR2025040700502,Processed,,"1,20,000.00"
07/04/2025,EMP003,Ananya Bhatt,Salary,UTR2025040700503,Processed,,"95,000.00"
07/04/2025,EMP004,Farhan Sheikh,Salary,UTR2025040700504,Processed,,"85,000.00"
07/04/2025,EMP005,Ritu Agarwal,Salary,UTR2025040700505,Processed,,"72,000.00"
07/04/2025,EMP006,Siddharth Nair,Salary,UTR2025040700506,Processed,,"65,000.00"
07/04/2025,EMP007,Pooja Menon,Salary,UTR2025040700507,Processed,,"55,000.00"
07/04/2025,EMP008,Arjun Reddy,Salary,UTR2025040700508,Processed,,"52,000.00"
07/04/2025,EMP009,Nisha Patel,Salary,UTR2025040700509,Processed,,"48,000.00"
07/04/2025,EMP010,Mohammed Irfan,Salary,UTR2025040700510,Processed,,"55,000.00"
07/04/2025,EMP011,Swathi Krishnamurthy,Salary,UTR2025040700511,Processed,,"45,000.00"
07/04/2025,EMP012,Rohit Hegde,Salary,UTR2025040700512,Processed,,"50,000.00"
07/04/2025,EMP013,Lakshmi Venkatesh,Salary,UTR2025040700513,Processed,,"42,000.00"
07/04/2025,EMP014,Aditya Jha,Salary,UTR2025040700514,Processed,,"40,000.00"
07/04/2025,EMP015,Divya Sharma,Salary,UTR2025040700515,Processed,,"38,000.00"
07/04/2025,EMP016,Karthik Iyer,Salary,UTR2025040700516,Processed,,"60,000.00"
07/04/2025,EMP017,Preethi Suresh,Salary,UTR2025040700517,Processed,,"28,000.00"
07/04/2025,EMP018,Rajesh Kumar,Salary,UTR2025040700518,Processed,,"32,000.00"
07/04/2025,EMP019,Tanvi Deshpande,Salary,UTR2025040700519,Processed,,"22,000.00"
07/04/2025,EMP020,Varun Gowda,Salary,UTR2025040700520,Processed,,"35,000.00"
07/04/2025,EMP021,Meghana Rao,Salary,UTR2025040700521,Processed,,"30,000.00"
07/04/2025,EMP022,Akhil Thomas,Salary,UTR2025040700522,Processed,,"20,000.00"
07/04/2025,EMP023,Shreya Kulkarni,Salary,UTR2025040700523,Processed,,"32,000.00"
07/04/2025,EMP024,Naveen Prasad,Salary,UTR2025040700524,Processed,,"42,000.00"
07/04/2025,EMP025,Fathima Begum,Salary,UTR2025040700525,Processed,,"25,000.00"
07/04/2025,EMP026,Girish Mallya,Salary,UTR2025040700526,Processed,,"35,000.00"
07/04/2025,EMP027,Amrita Singh,Salary,UTR2025040700527,Processed,,"38,000.00"
07/04/2025,EMP028,Harish Babu,Salary,UTR2025040700528,Processed,,"25,000.00"
07/04/2025,EMP029,Zara Hussain,Salary,UTR2025040700529,Processed,,"20,000.00"
07/04/2025,EMP030,Prakash Nambiar,Salary,UTR2025040700530,Processed,,"28,000.00"
07/04/2025,EMP031,Sunitha Rao,Salary,UTR2025040700531,Processed,,"35,000.00"
07/04/2025,EMP032,Vivek Choudhary,Salary,UTR2025040700532,Processed,,"28,000.00"
30/04/2025,---,RazorpayX,Platform Charge,UTR2025043000590,Processed,,"3,539.00"
